pinder_release,cohort,id,pdb_id,cluster_id,cluster_id_R,cluster_id_L,uniprot_R,uniprot_L
2024-02,PINDER-AF2,7ztw__A1_Q66578--7ztw__B1_Q66578,7ztw,cluster_22347_22347,cluster_22347,cluster_22347,Q66578,Q66578
2024-02,PINDER-AF2,7wjt__B1_Q8BZB3--7wjt__A1_Q8BZB3,7wjt,cluster_8426_8427,cluster_8426,cluster_8427,Q8BZB3,Q8BZB3
2024-02,PINDER-AF2,8ic1__A1_UNDEFINED--8ic1__B1_UNDEFINED,8ic1,cluster_13549_13549,cluster_13549,cluster_13549,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8b28__A1_F6GSX7--8b28__A2_F6GSX7,8b28,cluster_5028_5028,cluster_5028,cluster_5028,F6GSX7,F6GSX7
2024-02,PINDER-AF2,7zal__A1_E3T5W0--7zal__E2_E3T5W0,7zal,cluster_14139_14139,cluster_14139,cluster_14139,E3T5W0,E3T5W0
2024-02,PINDER-AF2,7qfz__B1_B7L3Y3--7qfz__A1_B7L3Y3,7qfz,cluster_9766_9766,cluster_9766,cluster_9766,B7L3Y3,B7L3Y3
2024-02,PINDER-AF2,7xky__A1_Q58690--7xky__B1_Q58034,7xky,cluster_2501_2502,cluster_2501,cluster_2502,Q58690,Q58034
2024-02,PINDER-AF2,8f71__B1_Q6N5G3--8f71__A1_Q6N5G3,8f71,cluster_7079_7079,cluster_7079,cluster_7079,Q6N5G3,Q6N5G3
2024-02,PINDER-AF2,8ic6__A1_UNDEFINED--8ic6__B1_UNDEFINED,8ic6,cluster_13565_13565,cluster_13565,cluster_13565,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8qfo__A1_A0A840P3H4--8qfo__B1_A0A840P3H4,8qfo,cluster_9783_9783,cluster_9783,cluster_9783,A0A840P3H4,A0A840P3H4
2024-02,PINDER-AF2,7qfk__C1_Q5FLN0--7qfk__A1_Q5FLN0,7qfk,cluster_9786_9786,cluster_9786,cluster_9786,Q5FLN0,Q5FLN0
2024-02,PINDER-AF2,8dfk__A1_P39694--8dfk__B1_P39694,8dfk,cluster_14217_14217,cluster_14217,cluster_14217,P39694,P39694
2024-02,PINDER-AF2,8hno__A1_B6YTS4--8hno__B1_B6YTS4,8hno,cluster_18866_18866,cluster_18866,cluster_18866,B6YTS4,B6YTS4
2024-02,PINDER-AF2,8hn2__A1_Q9F722--8hn2__B1_Q9F722,8hn2,cluster_4611_4611,cluster_4611,cluster_4611,Q9F722,Q9F722
2024-02,PINDER-AF2,7p0h__A1_O26008--7p0h__C1_O26008,7p0h,cluster_10903_10903,cluster_10903,cluster_10903,O26008,O26008
2024-02,PINDER-AF2,8hns__A1_A0A377JKY9--8hns__A2_A0A377JKY9,8hns,cluster_8369_8369,cluster_8369,cluster_8369,A0A377JKY9,A0A377JKY9
2024-02,PINDER-AF2,8h56__A1_Q8BB16--8h56__B1_Q8BB16,8h56,cluster_14707_14707,cluster_14707,cluster_14707,Q8BB16,Q8BB16
2024-02,PINDER-AF2,8d3t__B1_A0A2K2AMS7--8d3t__A1_A0A2K2AMS7,8d3t,cluster_37886_37886,cluster_37886,cluster_37886,A0A2K2AMS7,A0A2K2AMS7
2024-02,PINDER-AF2,8ard__A1_Q64331--8ard__A2_Q64331,8ard,cluster_34280_34280,cluster_34280,cluster_34280,Q64331,Q64331
2024-02,PINDER-AF2,8af9__A1_Q2YPZ9--8af9__H1_Q2YPZ9,8af9,cluster_11952_11952,cluster_11952,cluster_11952,Q2YPZ9,Q2YPZ9
2024-02,PINDER-AF2,7x2p__A1_Q5ZWH7--7x2p__B1_Q5ZWH7,7x2p,cluster_6899_6899,cluster_6899,cluster_6899,Q5ZWH7,Q5ZWH7
2024-02,PINDER-AF2,7n35__A1_UNDEFINED--7n35__B2_UNDEFINED,7n35,cluster_25240_25240,cluster_25240,cluster_25240,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7tcr__A1_A0A2D2D5M1--7tcr__D1_A0A2D2CY73,7tcr,cluster_24515_24516,cluster_24515,cluster_24516,A0A2D2D5M1,A0A2D2CY73
2024-02,PINDER-AF2,8bgm__B1_A0A5P3XKL3--8bgm__A1_A0A5P3XKM0,8bgm,cluster_30163_30164,cluster_30163,cluster_30164,A0A5P3XKL3,A0A5P3XKM0
2024-02,PINDER-AF2,8e1u__A1_A0A160VN62--8e1u__F2_A0A160VN62,8e1u,cluster_10565_10565,cluster_10565,cluster_10565,A0A160VN62,A0A160VN62
2024-02,PINDER-AF2,7wbt__A1_Q288C4--7wbt__B1_Q288C4,7wbt,cluster_7371_7371,cluster_7371,cluster_7371,Q288C4,Q288C4
2024-02,PINDER-AF2,7z7o__A1_A0A1S4NYF2--7z7o__C1_A0A1S4NYF2,7z7o,cluster_91_91,cluster_91,cluster_91,A0A1S4NYF2,A0A1S4NYF2
2024-02,PINDER-AF2,7vzy__B1_Q84G19--7vzy__A1_Q84G19,7vzy,cluster_16007_16007,cluster_16007,cluster_16007,Q84G19,Q84G19
2024-02,PINDER-AF2,8brp__A1_D8G6F7--8brp__B1_D8G6F7,8brp,cluster_28788_28788,cluster_28788,cluster_28788,D8G6F7,D8G6F7
2024-02,PINDER-AF2,7vkb__A1_Q5ZSZ6--7vkb__B1_Q5ZSZ7,7vkb,cluster_9444_9445,cluster_9444,cluster_9445,Q5ZSZ6,Q5ZSZ7
2024-02,PINDER-AF2,7vma__A1_C5A758--7vma__A2_C5A758,7vma,cluster_16844_16844,cluster_16844,cluster_16844,C5A758,C5A758
2024-02,PINDER-AF2,7ylq__A1_Q93CA6--7ylq__B1_Q93CA6,7ylq,cluster_30660_30660,cluster_30660,cluster_30660,Q93CA6,Q93CA6
2024-02,PINDER-AF2,8pte__A1_P00698--8pte__A2_P00698,8pte,cluster_274_274,cluster_274,cluster_274,P00698,P00698
2024-02,PINDER-AF2,7ytl__A1_E1BR24--7ytl__A2_E1BR24,7ytl,cluster_412_412,cluster_412,cluster_412,E1BR24,E1BR24
2024-02,PINDER-AF2,7xmw__B1_U2Q5N5--7xmw__A1_U2Q5N5,7xmw,cluster_11062_11062,cluster_11062,cluster_11062,U2Q5N5,U2Q5N5
2024-02,PINDER-AF2,7ytu__B1_P68623--7ytu__A1_P68458,7ytu,cluster_441_442,cluster_441,cluster_442,P68623,P68458
2024-02,PINDER-AF2,7skr__A1_Q0QDZ2--7skr__A2_Q0QDZ2,7skr,cluster_3139_3139,cluster_3139,cluster_3139,Q0QDZ2,Q0QDZ2
2024-02,PINDER-AF2,7yka__B1_Q9Y3D6--7yka__A1_Q9Y3D6,7yka,cluster_13298_13298,cluster_13298,cluster_13298,Q9Y3D6,Q9Y3D6
2024-02,PINDER-AF2,7yk3__A1_O53604--7yk3__B1_O53605,7yk3,cluster_15784_15785,cluster_15784,cluster_15785,O53604,O53605
2024-02,PINDER-AF2,7ykv__B1_Q58241--7ykv__A1_Q58241,7ykv,cluster_5358_5358,cluster_5358,cluster_5358,Q58241,Q58241
2024-02,PINDER-AF2,8imd__A1_UNDEFINED--8imd__B1_UNDEFINED,8imd,cluster_25674_25674,cluster_25674,cluster_25674,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8hyn__A1_UNDEFINED--8hyn__B1_UNDEFINED,8hyn,cluster_27678_27678,cluster_27678,cluster_27678,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7xsh__A1_K1KV82--7xsh__B2_K1KV82,7xsh,cluster_8039_8039,cluster_8039,cluster_8039,K1KV82,K1KV82
2024-02,PINDER-AF2,8v14__A1_G5EEF9--8v14__B1_G5EEF9,8v14,cluster_31110_31110,cluster_31110,cluster_31110,G5EEF9,G5EEF9
2024-02,PINDER-AF2,7s6n__B1_Q5RGJ8--7s6n__A1_Q5RGJ8,7s6n,cluster_18594_18594,cluster_18594,cluster_18594,Q5RGJ8,Q5RGJ8
2024-02,PINDER-AF2,8iev__A1_Q0PAW2--8iev__B1_Q0PAW2,8iev,cluster_29875_29875,cluster_29875,cluster_29875,Q0PAW2,Q0PAW2
2024-02,PINDER-AF2,7unh__A1_UNDEFINED--7unh__B1_UNDEFINED,7unh,cluster_35501_35501,cluster_35501,cluster_35501,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8tto__A1_UNDEFINED--8tto__B1_UNDEFINED,8tto,cluster_10994_10994,cluster_10994,cluster_10994,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8a60__A1_P06971--8a60__B1_Q38162,8a60,cluster_12107_26846,cluster_12107,cluster_26846,P06971,Q38162
2024-02,PINDER-AF2,7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,7pvh,cluster_33701_33701,cluster_33701,cluster_33701,B2RLE7,B2RLE7
2024-02,PINDER-AF2,7nli__B1_P08405--7nli__A1_P08405,7nli,cluster_33682_33682,cluster_33682,cluster_33682,P08405,P08405
2024-02,PINDER-AF2,8a0c__A1_Q2ERG0--8a0c__B1_Q2ERG0,8a0c,cluster_10937_10937,cluster_10937,cluster_10937,Q2ERG0,Q2ERG0
2024-02,PINDER-AF2,8j51__A1_A0A0E9MUN5--8j51__B1_A0A0E9MUN5,8j51,cluster_792_792,cluster_792,cluster_792,A0A0E9MUN5,A0A0E9MUN5
2024-02,PINDER-AF2,8pz3__A1_D7SFB8--8pz3__B1_D7SFB8,8pz3,cluster_8781_8781,cluster_8781,cluster_8781,D7SFB8,D7SFB8
2024-02,PINDER-AF2,7unj__A1_UNDEFINED--7unj__B1_UNDEFINED,7unj,cluster_7546_7546,cluster_7546,cluster_7546,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7uav__A1_P0DW58--7uav__B1_P0DW58,7uav,cluster_10330_10330,cluster_10330,cluster_10330,P0DW58,P0DW58
2024-02,PINDER-AF2,7vrx__D1_A0A6J4AG16--7vrx__B1_A0A6J4AG16,7vrx,cluster_2204_2204,cluster_2204,cluster_2204,A0A6J4AG16,A0A6J4AG16
2024-02,PINDER-AF2,7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,7t5y,cluster_7939_7939,cluster_7939,cluster_7939,P0A7E1,P0A7E1
2024-02,PINDER-AF2,7yn1__A1_E9JES9--7yn1__C1_E9JES9,7yn1,cluster_7392_7392,cluster_7392,cluster_7392,E9JES9,E9JES9
2024-02,PINDER-AF2,8p33__A1_O51254--8p33__A2_O51254,8p33,cluster_2272_2272,cluster_2272,cluster_2272,O51254,O51254
2024-02,PINDER-AF2,8ttz__A1_G8E2R2--8ttz__B2_G8E2R2,8ttz,cluster_407_407,cluster_407,cluster_407,G8E2R2,G8E2R2
2024-02,PINDER-AF2,7vrc__A1_P38956--7vrc__B1_P22082,7vrc,cluster_29993_29994,cluster_29993,cluster_29994,P38956,P22082
2024-02,PINDER-AF2,8p4l__A1_UNDEFINED--8p4l__B1_UNDEFINED,8p4l,cluster_16600_16600,cluster_16600,cluster_16600,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8p6k__A1_A0A0H2UWN1--8p6k__B1_A0A0H2UWN1,8p6k,cluster_13807_13807,cluster_13807,cluster_13807,A0A0H2UWN1,A0A0H2UWN1
2024-02,PINDER-AF2,8jmq__A1_A9CQD5--8jmq__B1_A9CQD3,8jmq,cluster_21707_21707,cluster_21707,cluster_21707,A9CQD5,A9CQD3
2024-02,PINDER-AF2,7zgn__A1_U6RE59--7zgn__B1_U6RE59,7zgn,cluster_14900_14900,cluster_14900,cluster_14900,U6RE59,U6RE59
2024-02,PINDER-AF2,7fiw__A1_B3CP63--7fiw__B1_Q73HD5,7fiw,cluster_27144_27145,cluster_27144,cluster_27145,B3CP63,Q73HD5
2024-02,PINDER-AF2,8oru__A1_O93732--8oru__B1_O93732,8oru,cluster_14951_14951,cluster_14951,cluster_14951,O93732,O93732
2024-02,PINDER-AF2,8ori__A1_Q2KB35--8ori__B1_Q2KB35,8ori,cluster_3486_3486,cluster_3486,cluster_3486,Q2KB35,Q2KB35
2024-02,PINDER-AF2,8hhj__B1_UNDEFINED--8hhj__A1_A0A0Y5KAW3,8hhj,cluster_23284_23285,cluster_23284,cluster_23285,UNDEFINED,A0A0Y5KAW3
2024-02,PINDER-AF2,8d0x__A1_Q9Y231--8d0x__A2_Q9Y231,8d0x,cluster_2920_2920,cluster_2920,cluster_2920,Q9Y231,Q9Y231
2024-02,PINDER-AF2,8bp5__B1_A0A369SI82--8bp5__A1_A0A369SI82,8bp5,cluster_482_482,cluster_482,cluster_482,A0A369SI82,A0A369SI82
2024-02,PINDER-AF2,8d03__A1_UNDEFINED--8d03__A2_UNDEFINED,8d03,cluster_2945_2945,cluster_2945,cluster_2945,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8d04__B1_UNDEFINED--8d04__A1_UNDEFINED,8d04,cluster_3022_3022,cluster_3022,cluster_3022,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,7z6m,cluster_5362_5362,cluster_5362,cluster_5362,A0A0H3LM39,A0A0H3LM39
2024-02,PINDER-AF2,8cnx__A1_Q68T42--8cnx__B1_Q68T42,8cnx,cluster_609_609,cluster_609,cluster_609,Q68T42,Q68T42
2024-02,PINDER-AF2,7wwo__B1_Q5SH57--7wwo__A1_Q5SH57,7wwo,cluster_5115_5115,cluster_5115,cluster_5115,Q5SH57,Q5SH57
2024-02,PINDER-AF2,7tjl__A1_UNDEFINED--7tjl__A2_UNDEFINED,7tjl,cluster_28864_28864,cluster_28864,cluster_28864,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8d0m__A1_P28907--8d0m__A2_P28907,8d0m,cluster_2975_2975,cluster_2975,cluster_2975,P28907,P28907
2024-02,PINDER-AF2,8fin__A1_UNDEFINED--8fin__B1_UNDEFINED,8fin,cluster_29799_29799,cluster_29799,cluster_29799,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7wwf__A1_A0R6Y0--7wwf__B1_A0R6Y0,7wwf,cluster_5140_5140,cluster_5140,cluster_5140,A0R6Y0,A0R6Y0
2024-02,PINDER-AF2,8aa9__A1_Q9V1Y9--8aa9__B1_Q9V1Y9,8aa9,cluster_9121_9121,cluster_9121,cluster_9121,Q9V1Y9,Q9V1Y9
2024-02,PINDER-AF2,8hdv__A1_UNDEFINED--8hdv__B1_UNDEFINED,8hdv,cluster_7885_7885,cluster_7885,cluster_7885,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,7f4q,cluster_17425_7640,cluster_7640,cluster_17425,Q22GC0,I7M8B9
2024-02,PINDER-AF2,7xgs__A1_Q9FVC1--7xgs__A2_Q9FVC1,7xgs,cluster_22094_22094,cluster_22094,cluster_22094,Q9FVC1,Q9FVC1
2024-02,PINDER-AF2,8hfp__B1_Q96T68--8hfp__A1_Q8N8R7,8hfp,cluster_23192_23193,cluster_23192,cluster_23193,Q96T68,Q8N8R7
2024-02,PINDER-AF2,8avu__A1_Q8GPI4--8avu__A2_Q8GPI4,8avu,cluster_29712_29712,cluster_29712,cluster_29712,Q8GPI4,Q8GPI4
2024-02,PINDER-AF2,8i2e__A1_O34841--8i2e__B1_P54421,8i2e,cluster_11087_12465,cluster_12465,cluster_11087,O34841,P54421
2024-02,PINDER-AF2,7rmx__A1_UNDEFINED--7rmx__A2_UNDEFINED,7rmx,cluster_31619_31619,cluster_31619,cluster_31619,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8ji6__A1_A0A861B387--8ji6__B1_A0A861B387,8ji6,cluster_12565_12565,cluster_12565,cluster_12565,A0A861B387,A0A861B387
2024-02,PINDER-AF2,8d05__A1_UNDEFINED--8d05__A2_UNDEFINED,8d05,cluster_2919_2919,cluster_2919,cluster_2919,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8h1l__B1_A0A7U4E834--8h1l__A1_A0A7U4E834,8h1l,cluster_2866_2866,cluster_2866,cluster_2866,A0A7U4E834,A0A7U4E834
2024-02,PINDER-AF2,7z98__A1_E6V140--7z98__A2_E6V140,7z98,cluster_16083_16083,cluster_16083,cluster_16083,E6V140,E6V140
2024-02,PINDER-AF2,8h1i__A1_W6EBY7--8h1i__B1_P0A9Y6,8h1i,cluster_2872_2873,cluster_2872,cluster_2873,W6EBY7,P0A9Y6
2024-02,PINDER-AF2,7vt9__A1_P21517--7vt9__B1_P21517,7vt9,cluster_10936_10936,cluster_10936,cluster_10936,P21517,P21517
2024-02,PINDER-AF2,7x6f__B1_P0AD45--7x6f__A1_P0AD45,7x6f,cluster_18175_18175,cluster_18175,cluster_18175,P0AD45,P0AD45
2024-02,PINDER-AF2,7pjo__B1_UNDEFINED--7pjo__A1_UNDEFINED,7pjo,cluster_30393_30393,cluster_30393,cluster_30393,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8aeu__A1_Q00987--8aeu__A2_Q00987,8aeu,cluster_1537_1537,cluster_1537,cluster_1537,Q00987,Q00987
2024-02,PINDER-AF2,8a14__A1_A0A0D1E4Q7--8a14__C2_A0A0D1E4Q7,8a14,cluster_34716_34716,cluster_34716,cluster_34716,A0A0D1E4Q7,A0A0D1E4Q7
2024-02,PINDER-AF2,8oik__A1_Q9UPU9--8oik__C1_Q9UPU9,8oik,cluster_36099_36099,cluster_36099,cluster_36099,Q9UPU9,Q9UPU9
2024-02,PINDER-AF2,7wrs__A1_Q5ZJ86--7wrs__B1_UNDEFINED,7wrs,cluster_11913_11914,cluster_11913,cluster_11914,Q5ZJ86,UNDEFINED
2024-02,PINDER-AF2,8q70__A1_Q8U2C1--8q70__A2_Q8U2C1,8q70,cluster_14614_14614,cluster_14614,cluster_14614,Q8U2C1,Q8U2C1
2024-02,PINDER-AF2,7vso__A1_P02945--7vso__A2_P02945,7vso,cluster_1035_1035,cluster_1035,cluster_1035,P02945,P02945
2024-02,PINDER-AF2,8i8y__B1_UNDEFINED--8i8y__A1_UNDEFINED,8i8y,cluster_20788_20788,cluster_20788,cluster_20788,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8smq__A1_Q182N1--8smq__B1_Q182N1,8smq,cluster_20938_20938,cluster_20938,cluster_20938,Q182N1,Q182N1
2024-02,PINDER-AF2,7n1j__A1_P22455--7n1j__B1_UNDEFINED,7n1j,cluster_1914_19178,cluster_1914,cluster_19178,P22455,UNDEFINED
2024-02,PINDER-AF2,8i85__A1_D2B3F1--8i85__B1_D2B3F1,8i85,cluster_20793_20793,cluster_20793,cluster_20793,D2B3F1,D2B3F1
2024-02,PINDER-AF2,7yuj__B1_Q9BYM8--7yuj__A1_Q9BYM8,7yuj,cluster_19439_19439,cluster_19439,cluster_19439,Q9BYM8,Q9BYM8
2024-02,PINDER-AF2,7zcl__B1_UNDEFINED--7zcl__A1_UNDEFINED,7zcl,cluster_4909_4909,cluster_4909,cluster_4909,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7skp__B1_UNDEFINED--7skp__A1_UNDEFINED,7skp,cluster_32736_32736,cluster_32736,cluster_32736,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7xl7__A1_A0A2J0R8J6--7xl7__B1_A0A2J0R8J6,7xl7,cluster_13041_13041,cluster_13041,cluster_13041,A0A2J0R8J6,A0A2J0R8J6
2024-02,PINDER-AF2,7tn6__A1_Q84Y01--7tn6__A2_Q84Y01,7tn6,cluster_11602_11602,cluster_11602,cluster_11602,Q84Y01,Q84Y01
2024-02,PINDER-AF2,8vc5__A1_Q9XCL6--8vc5__B1_Q9XCL6,8vc5,cluster_13265_13265,cluster_13265,cluster_13265,Q9XCL6,Q9XCL6
2024-02,PINDER-AF2,8ant__B1_A0A1P8CWW1--8ant__A1_A0A1P8CWW1,8ant,cluster_33531_33531,cluster_33531,cluster_33531,A0A1P8CWW1,A0A1P8CWW1
2024-02,PINDER-AF2,7r5y__E2_R7PD89--7r5y__A1_R7PD89,7r5y,cluster_30547_30547,cluster_30547,cluster_30547,R7PD89,R7PD89
2024-02,PINDER-AF2,8pvm__A1_P29166--8pvm__B1_P29166,8pvm,cluster_6440_6440,cluster_6440,cluster_6440,P29166,P29166
2024-02,PINDER-AF2,7yo8__A1_P60520--7yo8__A2_P60520,7yo8,cluster_1022_1022,cluster_1022,cluster_1022,P60520,P60520
2024-02,PINDER-AF2,8gk6__A1_W6USS8--8gk6__E1_W6USS8,8gk6,cluster_5251_5251,cluster_5251,cluster_5251,W6USS8,W6USS8
2024-02,PINDER-AF2,7yj0__B1_UNDEFINED--7yj0__A1_UNDEFINED,7yj0,cluster_36808_36808,cluster_36808,cluster_36808,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7yji__A1_UNDEFINED--7yji__A2_UNDEFINED,7yji,cluster_36803_36803,cluster_36803,cluster_36803,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8tn8__B1_A0A482N9T7--8tn8__A1_A0A482N9T7,8tn8,cluster_11636_11636,cluster_11636,cluster_11636,A0A482N9T7,A0A482N9T7
2024-02,PINDER-AF2,7spq__A1_C5AMM8--7spq__A2_C5AMM8,7spq,cluster_17589_17589,cluster_17589,cluster_17589,C5AMM8,C5AMM8
2024-02,PINDER-AF2,7spn__A1_A0A7C2VFT1--7spn__B1_A0A7C2VFT1,7spn,cluster_17588_17588,cluster_17588,cluster_17588,A0A7C2VFT1,A0A7C2VFT1
2024-02,PINDER-AF2,7y51__A1_Q8RBF4--7y51__A2_Q8RBF4,7y51,cluster_711_711,cluster_711,cluster_711,Q8RBF4,Q8RBF4
2024-02,PINDER-AF2,7tvh__B1_Q9I2Q1--7tvh__A1_Q9I2Q1,7tvh,cluster_8106_8106,cluster_8106,cluster_8106,Q9I2Q1,Q9I2Q1
2024-02,PINDER-AF2,7tvm__A1_UNDEFINED--7tvm__B1_UNDEFINED,7tvm,cluster_13205_13205,cluster_13205,cluster_13205,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8in9__A1_E0D202--8in9__B1_E0D202,8in9,cluster_2611_544,cluster_2611,cluster_544,E0D202,E0D202
2024-02,PINDER-AF2,8bxl__A1_A0A075TRK9--8bxl__D1_A0A075TRK9,8bxl,cluster_27601_27601,cluster_27601,cluster_27601,A0A075TRK9,A0A075TRK9
2024-02,PINDER-AF2,7udi__B1_Q9RYE6--7udi__A1_Q9RYE6,7udi,cluster_6570_6570,cluster_6570,cluster_6570,Q9RYE6,Q9RYE6
2024-02,PINDER-AF2,7yfu__A1_Q8CG73--7yfu__B1_Q8CG73,7yfu,cluster_32223_32224,cluster_32223,cluster_32224,Q8CG73,Q8CG73
2024-02,PINDER-AF2,8iw5__A1_Q8C8U0--8iw5__B1_Q8C8U0,8iw5,cluster_20050_20050,cluster_20050,cluster_20050,Q8C8U0,Q8C8U0
2024-02,PINDER-AF2,8iw0__A1_Q14678--8iw0__B1_Q14678,8iw0,cluster_20052_20052,cluster_20052,cluster_20052,Q14678,Q14678
2024-02,PINDER-AF2,8bwv__D2_A0A482M8M0--8bwv__A1_A0A482M8M0,8bwv,cluster_27613_27613,cluster_27613,cluster_27613,A0A482M8M0,A0A482M8M0
2024-02,PINDER-AF2,8gp6__B1_P16710--8gp6__A1_P07611,8gp6,cluster_36577_36578,cluster_36577,cluster_36578,P16710,P07611
2024-02,PINDER-AF2,7t91__A1_P08151--7t91__B1_P08151,7t91,cluster_1801_1801,cluster_1801,cluster_1801,P08151,P08151
2024-02,PINDER-AF2,8a82__A1_K7WEY7--8a82__B1_K7XCU4,8a82,cluster_24439_24440,cluster_24439,cluster_24440,K7WEY7,K7XCU4
2024-02,PINDER-AF2,8ajq__A1_Q9I0C0--8ajq__B1_Q9I0C0,8ajq,cluster_5625_5625,cluster_5625,cluster_5625,Q9I0C0,Q9I0C0
2024-02,PINDER-AF2,7px2__A1_UNDEFINED--7px2__B1_UNDEFINED,7px2,cluster_15688_15688,cluster_15688,cluster_15688,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,7duc__B1_Q2G2U4--7duc__A1_Q2G2U4,7duc,cluster_12182_12182,cluster_12182,cluster_12182,Q2G2U4,Q2G2U4
2024-02,PINDER-AF2,8d4w__A1_A0A8B4R830--8d4w__A2_A0A8B4R830,8d4w,cluster_1400_1400,cluster_1400,cluster_1400,A0A8B4R830,A0A8B4R830
2024-02,PINDER-AF2,8ezg__A1_P01116--8ezg__B1_UNDEFINED,8ezg,cluster_1605_437,cluster_437,cluster_1605,P01116,UNDEFINED
2024-02,PINDER-AF2,8a45__B1_B7V7R4--8a45__A1_B7V7R4,8a45,cluster_2041_2041,cluster_2041,cluster_2041,B7V7R4,B7V7R4
2024-02,PINDER-AF2,8ih4__A1_Q8WVV5--8ih4__B1_Q8WVV5,8ih4,cluster_1013_1013,cluster_1013,cluster_1013,Q8WVV5,Q8WVV5
2024-02,PINDER-AF2,8twd__C1_P0AEV1--8twd__A1_W8SRD3,8twd,cluster_14492_338,cluster_338,cluster_14492,P0AEV1,W8SRD3
2024-02,PINDER-AF2,7uh4__A1_UNDEFINED--7uh4__B1_UNDEFINED,7uh4,cluster_7066_7066,cluster_7066,cluster_7066,UNDEFINED,UNDEFINED
2024-02,PINDER-AF2,8u1j__A1_Q9RYE6--8u1j__A2_Q9RYE6,8u1j,cluster_10113_10113,cluster_10113,cluster_10113,Q9RYE6,Q9RYE6
2024-02,PINDER-AF2,7win__B1_Q9UIF8--7win__A1_Q9UIF8,7win,cluster_3903_3903,cluster_3903,cluster_3903,Q9UIF8,Q9UIF8
