pinder_release,cohort,id,pdb_id,cluster_id,cluster_id_R,cluster_id_L,uniprot_R,uniprot_L,source_group,class_id,class_key,cv_fold
2024-02,Training500,1tej__B1_P0C6B5--1tej__A1_P0C6B4,1tej,cluster_4254_4254,cluster_4254,cluster_4254,P0C6B5,P0C6B4,group2,1,robust_correct,4
2024-02,Training500,6j2u__B1_Q93HL2--6j2u__A1_Q93HL1,6j2u,cluster_2607_2647,cluster_2607,cluster_2647,Q93HL2,Q93HL1,feasibility50,1,robust_correct,2
2024-02,Training500,3lbx__B1_P11277--3lbx__A1_P02549,3lbx,cluster_8658_8658,cluster_8658,cluster_8658,P11277,P02549,group1,1,robust_correct,0
2024-02,Training500,2gsm__A1_P33517--2gsm__B1_Q03736,2gsm,cluster_1898_1904,cluster_1904,cluster_1898,P33517,Q03736,feasibility50,1,robust_correct,1
2024-02,Training500,5jkt__A1_P20536--5jkt__B1_P20995,5jkt,cluster_7852_7853,cluster_7852,cluster_7853,P20536,P20995,group1,1,robust_correct,3
2024-02,Training500,5vzt__B1_Q5XUX0--5vzt__A1_P63208,5vzt,cluster_16010_1706,cluster_16010,cluster_1706,Q5XUX0,P63208,group1,1,robust_correct,4
2024-02,Training500,2zjs__A1_Q5SHQ8--2zjs__B1_P38383,2zjs,cluster_17947_757,cluster_757,cluster_17947,Q5SHQ8,P38383,group1,1,robust_correct,2
2024-02,Training500,4xyd__A1_Q16A04--4xyd__B1_Q16A03,4xyd,cluster_17742_17743,cluster_17742,cluster_17743,Q16A04,Q16A03,feasibility50,1,robust_correct,0
2024-02,Training500,4mgy__A1_Q9EQZ6--4mgy__B1_P61224,4mgy,cluster_24946_437,cluster_24946,cluster_437,Q9EQZ6,P61224,group1,1,robust_correct,1
2024-02,Training500,6p7y__A1_J7H333--6p7y__B1_P52799,6p7y,cluster_4810_8064,cluster_4810,cluster_8064,J7H333,P52799,group3,1,robust_correct,3
2024-02,Training500,6rm9__A1_G0SEG4--6rm9__B1_G0SFN3,6rm9,cluster_2194_31575,cluster_2194,cluster_31575,G0SEG4,G0SFN3,group1,1,robust_correct,4
2024-02,Training500,3wxm__A1_Q9YAV0--3wxm__B1_Q9YAZ5,3wxm,cluster_12560_841,cluster_841,cluster_12560,Q9YAV0,Q9YAZ5,group1,1,robust_correct,2
2024-02,Training500,4fqb__B1_Q9I2Q0--4fqb__A1_Q9I2Q1,4fqb,cluster_8105_8106,cluster_8105,cluster_8106,Q9I2Q0,Q9I2Q1,feasibility50,1,robust_correct,0
2024-02,Training500,2b11__A1_P00431--2b11__B1_P00044,2b11,cluster_1375_1918,cluster_1918,cluster_1375,P00431,P00044,group2,1,robust_correct,1
2024-02,Training500,4noo__A1_Q9KN42--4noo__B1_Q9KN41,4noo,cluster_12779_12780,cluster_12779,cluster_12780,Q9KN42,Q9KN41,feasibility50,1,robust_correct,3
2024-02,Training500,6ocf__A1_Q7L8A9--6ocf__B1_Q8N300,6ocf,cluster_15142_25499,cluster_15142,cluster_25499,Q7L8A9,Q8N300,group2,1,robust_correct,4
2024-02,Training500,4u4p__A1_O95347--4u4p__B1_Q9NTJ3,4u4p,cluster_15451_15459,cluster_15459,cluster_15451,O95347,Q9NTJ3,group2,1,robust_correct,2
2024-02,Training500,6z81__A1_P05852--6z81__C1_P76256,6z81,cluster_23754_4598,cluster_4598,cluster_23754,P05852,P76256,feasibility50,1,robust_correct,0
2024-02,Training500,1e1c__A1_P11653--1e1c__B1_P11652,1e1c,cluster_8304_8305,cluster_8304,cluster_8305,P11653,P11652,feasibility50,1,robust_correct,1
2024-02,Training500,3e0j__G1_P49005--3e0j__H1_Q15054,3e0j,cluster_11612_11613,cluster_11612,cluster_11613,P49005,Q15054,group3,1,robust_correct,3
2024-02,Training500,3a98__B1_Q92556--3a98__A1_Q92608,3a98,cluster_15574_998,cluster_15574,cluster_998,Q92556,Q92608,group1,1,robust_correct,4
2024-02,Training500,5ayr__A1_P13051--5ayr__B1_Q936H5,5ayr,cluster_1602_4870,cluster_1602,cluster_4870,P13051,Q936H5,group1,1,robust_correct,2
2024-02,Training500,6j7m__A1_Q9HZZ1--6j7m__C1_Q9HZZ2,6j7m,cluster_30249_6390,cluster_30249,cluster_6390,Q9HZZ1,Q9HZZ2,feasibility50,1,robust_correct,0
2024-02,Training500,2apo__A1_Q57612--2apo__B1_P81303,2apo,cluster_4709_4710,cluster_4709,cluster_4710,Q57612,P81303,feasibility50,1,robust_correct,1
2024-02,Training500,4nfu__A1_Q9XF23--4nfu__B1_Q4F883,4nfu,cluster_5028_5029,cluster_5028,cluster_5029,Q9XF23,Q4F883,feasibility50,1,robust_correct,3
2024-02,Training500,6djl__C1_O60239--6djl__A1_P62491,6djl,cluster_32150_437,cluster_32150,cluster_437,O60239,P62491,feasibility50,1,robust_correct,4
2024-02,Training500,3n4i__A1_P0AD64--3n4i__B1_P35804,3n4i,cluster_3641_3642,cluster_3641,cluster_3642,P0AD64,P35804,group1,1,robust_correct,2
2024-02,Training500,4g94__B1_Q4Z9Y5--4g94__A1_P0A0J0,4g94,cluster_345_9833,cluster_9833,cluster_345,Q4Z9Y5,P0A0J0,group1,1,robust_correct,0
2024-02,Training500,5l0w__A1_G0SH41--5l0w__B1_G0S0B5,5l0w,cluster_1260_8241,cluster_1260,cluster_8241,G0SH41,G0S0B5,group3,1,robust_correct,1
2024-02,Training500,6kbe__A1_B9G207--6kbe__B1_P0CG48,6kbe,cluster_1408_415,cluster_1408,cluster_415,B9G207,P0CG48,group3,1,robust_correct,3
2024-02,Training500,1spp__B1_P35496--1spp__A1_P35495,1spp,cluster_17629_17629,cluster_17629,cluster_17629,P35496,P35495,group1,1,robust_correct,4
2024-02,Training500,4wlp__A1_Q9Y5K5--4wlp__B1_Q6P4R8,4wlp,cluster_2405_5709,cluster_2405,cluster_5709,Q9Y5K5,Q6P4R8,group3,1,robust_correct,2
2024-02,Training500,5ztb__B1_Q72LF3--5ztb__A1_Q72LF4,5ztb,cluster_3180_5364,cluster_3180,cluster_5364,Q72LF3,Q72LF4,group3,1,robust_correct,0
2024-02,Training500,7bv5__C1_Q9URQ3--7bv5__A1_P47058,7bv5,cluster_1296_22587,cluster_22587,cluster_1296,Q9URQ3,P47058,feasibility50,1,robust_correct,1
2024-02,Training500,4at7__A1_Q9CXY6--4at7__B1_Q9Z1X4,4at7,cluster_9207_9208,cluster_9207,cluster_9208,Q9CXY6,Q9Z1X4,group3,1,robust_correct,3
2024-02,Training500,6j4p__A1_Q86V25--6j4p__B1_Q8N300,6j4p,cluster_15142_25522,cluster_15142,cluster_25522,Q86V25,Q8N300,feasibility50,1,robust_correct,4
2024-02,Training500,4oy2__A1_P46677--4oy2__D1_Q05021,4oy2,cluster_4932_4933,cluster_4932,cluster_4933,P46677,Q05021,feasibility50,1,robust_correct,2
2024-02,Training500,4zir__A1_Q9WY65--4zir__B1_Q9X1Z1,4zir,cluster_610_610,cluster_610,cluster_610,Q9WY65,Q9X1Z1,group1,1,robust_correct,0
2024-02,Training500,1rj9__B1_O07347--1rj9__A1_P83749,1rj9,cluster_236_236,cluster_236,cluster_236,O07347,P83749,group1,1,robust_correct,1
2024-02,Training500,2rax__A1_O15392--2rax__B1_Q53HL2,2rax,cluster_2437_9774,cluster_2437,cluster_9774,O15392,Q53HL2,group2,1,robust_correct,3
2024-02,Training500,6yva__A1_P0DTD1--6yva__B1_Q64339,6yva,cluster_3139_415,cluster_3139,cluster_415,P0DTD1,Q64339,group1,1,robust_correct,4
2024-02,Training500,7mnr__A1_P62826--7mnr__B1_P49792,7mnr,cluster_11956_437,cluster_437,cluster_11956,P62826,P49792,group3,1,robust_correct,2
2024-02,Training500,4giz__A1_P0AEX9--4giz__C1_P03126,4giz,cluster_10592_409,cluster_409,cluster_10592,P0AEX9,P03126,group2,1,robust_correct,0
2024-02,Training500,7sa1__B1_Q5VMP0--7sa1__A1_Q39255,7sa1,cluster_1706_21415,cluster_21415,cluster_1706,Q5VMP0,Q39255,group2,1,robust_correct,1
2024-02,Training500,4dex__A1_P54288--4dex__B1_Q02294,4dex,cluster_37018_5083,cluster_5083,cluster_37018,P54288,Q02294,group3,1,robust_correct,3
2024-02,Training500,6au8__A1_Q7L5D6--6au8__B1_P46379,6au8,cluster_10083_5104,cluster_10083,cluster_5104,Q7L5D6,P46379,group3,1,robust_correct,4
2024-02,Training500,3k7v__A1_P30153--3k7v__B1_P67775,3k7v,cluster_1544_2851,cluster_2851,cluster_1544,P30153,P67775,feasibility50,1,robust_correct,2
2024-02,Training500,6pnp__A1_Q9CS84--6pnp__B1_Q63366,6pnp,cluster_37121_37122,cluster_37121,cluster_37122,Q9CS84,Q63366,feasibility50,1,robust_correct,0
2024-02,Training500,5ky2__A1_Q91ZW2--5ky2__B1_P70375,5ky2,cluster_3018_588,cluster_588,cluster_3018,Q91ZW2,P70375,group1,1,robust_correct,1
2024-02,Training500,1vf6__A1_Q8NI35--1vf6__C1_Q9JLB2,1vf6,cluster_9363_9364,cluster_9363,cluster_9364,Q8NI35,Q9JLB2,feasibility50,1,robust_correct,3
2024-02,Training500,3n9y__A1_P05108--3n9y__C1_P10109,3n9y,cluster_3707_4339,cluster_3707,cluster_4339,P05108,P10109,group3,1,robust_correct,4
2024-02,Training500,2zae__A1_O59425--2zae__B1_O59248,2zae,cluster_12983_12984,cluster_12983,cluster_12984,O59425,O59248,group3,1,robust_correct,2
2024-02,Training500,2b5u__A1_P00646--2b5u__B1_P02984,2b5u,cluster_15945_15946,cluster_15945,cluster_15946,P00646,P02984,group1,1,robust_correct,0
2024-02,Training500,4ip3__A1_Q8VSD5--4ip3__B1_P61088,4ip3,cluster_1408_16815,cluster_16815,cluster_1408,Q8VSD5,P61088,feasibility50,1,robust_correct,1
2024-02,Training500,4k5a__A1_Q1RMX3--4k5a__B1_UNDEFINED,4k5a,cluster_1936_583,cluster_1936,cluster_583,Q1RMX3,UNDEFINED,group1,1,robust_correct,3
2024-02,Training500,5f4e__A1_Q8IYV9--5f4e__B1_A6ND01,5f4e,cluster_9086_9087,cluster_9086,cluster_9087,Q8IYV9,A6ND01,group1,1,robust_correct,4
2024-02,Training500,2yin__B1_Q92608--2yin__D1_P63000,2yin,cluster_12110_437,cluster_12110,cluster_437,Q92608,P63000,group1,1,robust_correct,2
2024-02,Training500,4u1c__A1_P32497--4u1c__B1_P38249,4u1c,cluster_10146_2441,cluster_2441,cluster_10146,P32497,P38249,group1,1,robust_correct,0
2024-02,Training500,7s7q__A1_Q8I1Y0--7s7q__B1_C6KSX0,7s7q,cluster_35248_35249,cluster_35248,cluster_35249,Q8I1Y0,C6KSX0,group3,1,robust_correct,1
2024-02,Training500,3mxn__A1_Q9H9A7--3mxn__B1_Q96E14,3mxn,cluster_4532_4533,cluster_4532,cluster_4533,Q9H9A7,Q96E14,feasibility50,1,robust_correct,3
2024-02,Training500,2yaj__A1_Q38HX4--2yaj__B1_Q38HX3,2yaj,cluster_5562_5563,cluster_5562,cluster_5563,Q38HX4,Q38HX3,group3,1,robust_correct,4
2024-02,Training500,4oh8__B1_Q8WWW0--4oh8__A1_Q13043,4oh8,cluster_5163_8741,cluster_8741,cluster_5163,Q8WWW0,Q13043,group3,1,robust_correct,2
2024-02,Training500,5fbz__A1_A0A182DWC7--5fbz__B1_P01053,5fbz,cluster_37934_387,cluster_37934,cluster_387,A0A182DWC7,P01053,group3,1,robust_correct,0
2024-02,Training500,4bvx__A1_P56192--4bvx__B1_O43324,4bvx,cluster_1930_1934,cluster_1934,cluster_1930,P56192,O43324,feasibility50,1,robust_correct,1
2024-02,Training500,6qxp__A1_O48809--6qxp__I1_Q9FZA0,6qxp,cluster_1977_2601,cluster_1977,cluster_2601,O48809,Q9FZA0,group1,1,robust_correct,3
2024-02,Training500,5vpc__B1_P17535--5vpc__A1_P53539,5vpc,cluster_11019_29001,cluster_29001,cluster_11019,P17535,P53539,group1,1,robust_correct,4
2024-02,Training500,5f22__B1_P0C6X7--5f22__A1_P0C6U8,5f22,cluster_306_307,cluster_306,cluster_307,P0C6X7,P0C6U8,feasibility50,1,robust_correct,2
2024-02,Training500,1krl__B1_P02882--1krl__A1_P02881,1krl,cluster_3543_3543,cluster_3543,cluster_3543,P02882,P02881,group1,1,robust_correct,0
2024-02,Training500,4xt2__C1_Q99814--4xt2__A1_P27540,4xt2,cluster_2976_2976,cluster_2976,cluster_2976,Q99814,P27540,group1,1,robust_correct,1
2024-02,Training500,6l4p__A1_Q9XHH2--6l4p__B1_Q39575,6l4p,cluster_2106_21655,cluster_2106,cluster_21655,Q9XHH2,Q39575,feasibility50,1,robust_correct,3
2024-02,Training500,3zr4__A1_Q9X0C6--3zr4__B1_Q9X0C8,3zr4,cluster_6869_6870,cluster_6869,cluster_6870,Q9X0C6,Q9X0C8,feasibility50,1,robust_correct,4
2024-02,Training500,5lsb__A1_Q99181--5lsb__B1_Q02554,5lsb,cluster_2105_993,cluster_993,cluster_2105,Q99181,Q02554,group2,1,robust_correct,2
2024-02,Training500,5tbk__J1_P18754--5tbk__A1_O00629,5tbk,cluster_1373_1762,cluster_1762,cluster_1373,P18754,O00629,group3,1,robust_correct,0
2024-02,Training500,3axj__B1_Q9VF77--3axj__A1_Q7JVK6,3axj,cluster_6242_6242,cluster_6242,cluster_6242,Q9VF77,Q7JVK6,group3,1,robust_correct,1
2024-02,Training500,3cbk__A1_P07858--3cbk__B1_Q966X9,3cbk,cluster_6304_6704,cluster_6704,cluster_6304,P07858,Q966X9,feasibility50,1,robust_correct,3
2024-02,Training500,4zkc__A1_Q2F862--4zkc__B1_P80098,4zkc,cluster_144_19156,cluster_19156,cluster_144,Q2F862,P80098,feasibility50,1,robust_correct,4
2024-02,Training500,6a3v__A1_P41273--6a3v__B1_Q07011,6a3v,cluster_5515_6908,cluster_6908,cluster_5515,P41273,Q07011,group3,1,robust_correct,2
2024-02,Training500,7s0y__A1_P18177--7s0y__B1_P60953,7s0y,cluster_437_7718,cluster_7718,cluster_437,P18177,P60953,group3,1,robust_correct,0
2024-02,Training500,2y9y__B1_P43596--2y9y__A1_P38144,2y9y,cluster_16576_30384,cluster_16576,cluster_30384,P43596,P38144,group3,1,robust_correct,1
2024-02,Training500,5uiw__A1_P51681--5uiw__B1_P13501,5uiw,cluster_143_144,cluster_143,cluster_144,P51681,P13501,group1,1,robust_correct,3
2024-02,Training500,1ogy__A1_Q53176--1ogy__B1_Q53177,1ogy,cluster_1993_1994,cluster_1993,cluster_1994,Q53176,Q53177,group2,1,robust_correct,4
2024-02,Training500,2a1j__B1_P07992--2a1j__A1_Q92889,2a1j,cluster_12762_6937,cluster_6937,cluster_12762,P07992,Q92889,group2,1,robust_correct,2
2024-02,Training500,1ira__B1_P14778--1ira__A1_P18510,1ira,cluster_693_9399,cluster_9399,cluster_693,P14778,P18510,group1,1,robust_correct,0
2024-02,Training500,4bry__A1_O75496--4bry__B1_D6RGH6,4bry,cluster_15378_28762,cluster_15378,cluster_28762,O75496,D6RGH6,group2,1,robust_correct,1
2024-02,Training500,6i7s__C1_P55157--6i7s__A1_P07237,6i7s,cluster_22133_621,cluster_22133,cluster_621,P55157,P07237,group1,1,robust_correct,3
2024-02,Training500,5ch7__A1_G8QM55--5ch7__B1_G8QM54,5ch7,cluster_17946_3416,cluster_3416,cluster_17946,G8QM55,G8QM54,group2,1,robust_correct,4
2024-02,Training500,3lcb__A1_Q8X607--3lcb__D2_P08200,3lcb,cluster_1246_13811,cluster_13811,cluster_1246,Q8X607,P08200,group3,1,robust_correct,2
2024-02,Training500,7dnn__A1_H0QPL9--7dnn__B1_H0QPL8,7dnn,cluster_6967_6968,cluster_6967,cluster_6968,H0QPL9,H0QPL8,group3,1,robust_correct,0
2024-02,Training500,1luj__A1_P35222--1luj__B1_Q9JJN6,1luj,cluster_1373_8533,cluster_1373,cluster_8533,P35222,Q9JJN6,feasibility50,1,robust_correct,1
2024-02,Training500,6hul__B1_P50383--6hul__A1_P50382,6hul,cluster_1163_4654,cluster_4654,cluster_1163,P50383,P50382,group2,1,robust_correct,3
2024-02,Training500,5t3r__B1_Q8A6W3--5t3r__A1_Q8A6W4,5t3r,cluster_2672_2673,cluster_2672,cluster_2673,Q8A6W3,Q8A6W4,group2,1,robust_correct,4
2024-02,Training500,6vax__A1_P31040--6vax__B1_Q9NX18,6vax,cluster_11268_392,cluster_392,cluster_11268,P31040,Q9NX18,group1,1,robust_correct,2
2024-02,Training500,2b42__A1_Q8H0K8--2b42__B1_P18429,2b42,cluster_6292_7873,cluster_7873,cluster_6292,Q8H0K8,P18429,group3,1,robust_correct,0
2024-02,Training500,3vyr__B1_Q5JII1--3vyr__A1_Q5JII0,3vyr,cluster_1112_32790,cluster_32790,cluster_1112,Q5JII1,Q5JII0,group1,1,robust_correct,1
2024-02,Training500,6r6n__A1_Q1Q7P4--6r6n__B1_Q1Q7P3,6r6n,cluster_29905_9,cluster_9,cluster_29905,Q1Q7P4,Q1Q7P3,group1,1,robust_correct,3
2024-02,Training500,1zoq__A1_Q14653--1zoq__B1_Q92793,1zoq,cluster_9276_9277,cluster_9276,cluster_9277,Q14653,Q92793,group2,1,robust_correct,4
2024-02,Training500,4hg6__A1_Q3J125--4hg6__B1_Q3J126,4hg6,cluster_16344_16345,cluster_16344,cluster_16345,Q3J125,Q3J126,feasibility50,1,robust_correct,2
2024-02,Training500,5vxz__A1_Q14393--5vxz__C1_P30530,5vxz,cluster_22270_9993,cluster_9993,cluster_22270,Q14393,P30530,feasibility50,1,robust_correct,0
2024-02,Training500,3w2v__A1_Q8U1S6--3w2v__B1_Q8U1S7,3w2v,cluster_7008_7009,cluster_7008,cluster_7009,Q8U1S6,Q8U1S7,group2,1,robust_correct,1
2024-02,Training500,6p66__B1_O29890--6p66__A1_O29889,6p66,cluster_13819_13820,cluster_13819,cluster_13820,O29890,O29889,group3,1,robust_correct,3
2024-02,Training500,6fc2__A1_P07260--6fc2__B1_P36041,6fc2,cluster_2391_24539,cluster_2391,cluster_24539,P07260,P36041,feasibility50,1,robust_correct,4
2024-02,Training500,3gb8__A1_O14980--3gb8__B1_O95149,3gb8,cluster_435_769,cluster_435,cluster_769,O14980,O95149,group3,1,robust_correct,2
2024-02,Training500,5yh3__A1_Q96MK3--5yh3__B1_Q8IXL6,5yh3,cluster_6497_6497,cluster_6497,cluster_6497,Q96MK3,Q8IXL6,group1,1,robust_correct,0
2024-02,Training500,1ujw__A1_P06129--1ujw__B1_P00646,1ujw,cluster_15945_7863,cluster_7863,cluster_15945,P06129,P00646,group3,1,robust_correct,1
2024-02,Training500,6cp8__A1_A0A2A2CAY5--6cp8__C1_A0A2A2C800,6cp8,cluster_18238_18239,cluster_18238,cluster_18239,A0A2A2CAY5,A0A2A2C800,feasibility50,1,robust_correct,3
2024-02,Training500,5wuq__A1_Q45585--5wuq__C1_Q45588,5wuq,cluster_120_3090,cluster_120,cluster_3090,Q45585,Q45588,group1,1,robust_correct,4
2024-02,Training500,1vc1__A1_Q9X1F5--1vc1__B1_Q9X1F5,1vc1,cluster_13246_13246,cluster_13246,cluster_13246,Q9X1F5,Q9X1F5,group1,1,robust_correct,3
2024-02,Training500,3f6t__B1_Q5FIG7--3f6t__A1_Q5FIG7,3f6t,cluster_575_575,cluster_575,cluster_575,Q5FIG7,Q5FIG7,group1,1,robust_correct,2
2024-02,Training500,4g3k__A1_O66591--4g3k__B1_O66591,4g3k,cluster_22960_22960,cluster_22960,cluster_22960,O66591,O66591,group1,1,robust_correct,4
2024-02,Training500,6vwo__A1_P0AEW6--6vwo__A2_P0AEW6,6vwo,cluster_25747_25747,cluster_25747,cluster_25747,P0AEW6,P0AEW6,group2,1,robust_correct,1
2024-02,Training500,4eog__A1_UNDEFINED--4eog__A2_UNDEFINED,4eog,cluster_22129_22129,cluster_22129,cluster_22129,UNDEFINED,UNDEFINED,group3,1,robust_correct,0
2024-02,Training500,5tc2__A1_P04585--5tc2__B1_P04585,5tc2,cluster_17_17,cluster_17,cluster_17,P04585,P04585,group3,1,robust_correct,3
2024-02,Training500,3up1__A1_P16871--3up1__B1_P16871,3up1,cluster_7163_7163,cluster_7163,cluster_7163,P16871,P16871,group2,1,robust_correct,2
2024-02,Training500,3fkq__A1_D0VX10--3fkq__A2_D0VX10,3fkq,cluster_12251_12251,cluster_12251,cluster_12251,D0VX10,D0VX10,group3,1,robust_correct,4
2024-02,Training500,2raf__B1_F9URQ8--2raf__A1_F9URQ8,2raf,cluster_23535_23535,cluster_23535,cluster_23535,F9URQ8,F9URQ8,group1,1,robust_correct,1
2024-02,Training500,3d3r__A1_Q8EF93--3d3r__B1_Q8EF93,3d3r,cluster_37898_37898,cluster_37898,cluster_37898,Q8EF93,Q8EF93,group2,1,robust_correct,0
2024-02,Training500,1zp6__A1_A9CEJ3--1zp6__A2_A9CEJ3,1zp6,cluster_28190_28190,cluster_28190,cluster_28190,A9CEJ3,A9CEJ3,group1,1,robust_correct,3
2024-02,Training500,1b3q__B1_Q56310--1b3q__A1_Q56310,1b3q,cluster_13589_13589,cluster_13589,cluster_13589,Q56310,Q56310,group1,1,robust_correct,2
2024-02,Training500,1xsv__A1_P67248--1xsv__B1_P67248,1xsv,cluster_27679_27679,cluster_27679,cluster_27679,P67248,P67248,group3,1,robust_correct,4
2024-02,Training500,2pyu__A1_P52061--2pyu__A2_P52061,2pyu,cluster_1715_1715,cluster_1715,cluster_1715,P52061,P52061,group2,1,robust_correct,1
2024-02,Training500,7cdv__A1_A0A2I4PGE9--7cdv__B1_A0A2I4PGE9,7cdv,cluster_1257_1257,cluster_1257,cluster_1257,A0A2I4PGE9,A0A2I4PGE9,group1,1,robust_correct,0
2024-02,Training500,7ovp__A1_O58230--7ovp__B1_O58230,7ovp,cluster_29336_29336,cluster_29336,cluster_29336,O58230,O58230,group2,1,robust_correct,3
2024-02,Training500,4ny2__A1_UNDEFINED--4ny2__B1_UNDEFINED,4ny2,cluster_6315_6315,cluster_6315,cluster_6315,UNDEFINED,UNDEFINED,group1,1,robust_correct,2
2024-02,Training500,5z5y__A1_P02866--5z5y__B1_P02866,5z5y,cluster_1152_1152,cluster_1152,cluster_1152,P02866,P02866,group3,1,robust_correct,4
2024-02,Training500,1kzh__A1_P70826--1kzh__B1_P70826,1kzh,cluster_4308_4308,cluster_4308,cluster_4308,P70826,P70826,group1,1,robust_correct,1
