selection_order,id,source_group,class_id,class_key,same_uniprot,cluster_id,cv_fold,length_R,length_L,total_length,selection_reason,selection_hash
45,6ocf__A1_Q7L8A9--6ocf__B1_Q8N300,group2,1,robust_correct,False,cluster_15142_25499,4,241,47,288,maximin_feature_diversity,6897740809724727671
46,4u4p__A1_O95347--4u4p__B1_Q9NTJ3,group2,1,robust_correct,False,cluster_15451_15459,2,232,196,428,maximin_feature_diversity,7247896864456328306
47,6z81__A1_P05852--6z81__C1_P76256,feasibility50,1,robust_correct,False,cluster_23754_4598,0,342,229,571,existing_multiseed_anchor,7570556018216242227
48,1e1c__A1_P11653--1e1c__B1_P11652,feasibility50,1,robust_correct,False,cluster_8304_8305,1,727,619,1346,existing_multiseed_anchor,7685328456723196321
49,3e0j__G1_P49005--3e0j__H1_Q15054,group3,1,robust_correct,False,cluster_11612_11613,3,408,143,551,maximin_feature_diversity,7849698927371570836
50,3a98__B1_Q92556--3a98__A1_Q92608,group1,1,robust_correct,False,cluster_15574_998,4,186,152,338,maximin_feature_diversity,7909179732810284132
51,5ayr__A1_P13051--5ayr__B1_Q936H5,group1,1,robust_correct,False,cluster_1602_4870,2,224,109,333,maximin_feature_diversity,7913691411986026705
52,6j7m__A1_Q9HZZ1--6j7m__C1_Q9HZZ2,feasibility50,1,robust_correct,False,cluster_30249_6390,0,377,173,550,existing_multiseed_anchor,8143033426348011297
53,2apo__A1_Q57612--2apo__B1_P81303,feasibility50,1,robust_correct,False,cluster_4709_4710,1,304,52,356,existing_multiseed_anchor,8159098074786238093
54,4nfu__A1_Q9XF23--4nfu__B1_Q4F883,feasibility50,1,robust_correct,False,cluster_5028_5029,3,619,524,1143,existing_multiseed_anchor,8159726474222073726
55,6djl__C1_O60239--6djl__A1_P62491,feasibility50,1,robust_correct,False,cluster_32150_437,4,224,176,400,existing_multiseed_anchor,8253472322043911172
56,3n4i__A1_P0AD64--3n4i__B1_P35804,group1,1,robust_correct,False,cluster_3641_3642,2,265,165,430,maximin_feature_diversity,8334950055958522964
57,4g94__B1_Q4Z9Y5--4g94__A1_P0A0J0,group1,1,robust_correct,False,cluster_345_9833,0,198,62,260,maximin_feature_diversity,8463197772792420501
58,5l0w__A1_G0SH41--5l0w__B1_G0S0B5,group3,1,robust_correct,False,cluster_1260_8241,1,205,160,365,maximin_feature_diversity,8512089572019693754
59,6kbe__A1_B9G207--6kbe__B1_P0CG48,group3,1,robust_correct,False,cluster_1408_415,3,239,149,388,maximin_feature_diversity,8588513672650933508
60,1spp__B1_P35496--1spp__A1_P35495,group1,1,robust_correct,False,cluster_17629_17629,4,112,109,221,maximin_feature_diversity,8601977014346748563
61,4wlp__A1_Q9Y5K5--4wlp__B1_Q6P4R8,group3,1,robust_correct,False,cluster_2405_5709,2,296,114,410,maximin_feature_diversity,8697133587070854046
62,5ztb__B1_Q72LF3--5ztb__A1_Q72LF4,group3,1,robust_correct,False,cluster_3180_5364,0,311,65,376,maximin_feature_diversity,8811969322562157638
63,7bv5__C1_Q9URQ3--7bv5__A1_P47058,feasibility50,1,robust_correct,False,cluster_1296_22587,1,284,234,518,existing_multiseed_anchor,8892089338422821236
64,4at7__A1_Q9CXY6--4at7__B1_Q9Z1X4,group3,1,robust_correct,False,cluster_9207_9208,3,334,324,658,maximin_feature_diversity,8910877603495241651
65,6j4p__A1_Q86V25--6j4p__B1_Q8N300,feasibility50,1,robust_correct,False,cluster_15142_25522,4,246,44,290,existing_multiseed_anchor,9194367552248451788
66,4oy2__A1_P46677--4oy2__D1_Q05021,feasibility50,1,robust_correct,False,cluster_4932_4933,2,459,224,683,existing_multiseed_anchor,9195768249298557953
67,4zir__A1_Q9WY65--4zir__B1_Q9X1Z1,group1,1,robust_correct,False,cluster_610_610,0,263,247,510,maximin_feature_diversity,9227668330937638958
68,1rj9__B1_O07347--1rj9__A1_P83749,group1,1,robust_correct,False,cluster_236_236,1,282,277,559,maximin_feature_diversity,9545102354591509024
69,2rax__A1_O15392--2rax__B1_Q53HL2,group2,1,robust_correct,False,cluster_2437_9774,3,115,58,173,maximin_feature_diversity,9748736897609353387
70,6yva__A1_P0DTD1--6yva__B1_Q64339,group1,1,robust_correct,False,cluster_3139_415,4,283,155,438,maximin_feature_diversity,9881324599595788431
71,7mnr__A1_P62826--7mnr__B1_P49792,group3,1,robust_correct,False,cluster_11956_437,2,203,40,243,maximin_feature_diversity,9936280216542749359
72,4giz__A1_P0AEX9--4giz__C1_P03126,group2,1,robust_correct,False,cluster_10592_409,0,382,142,524,maximin_feature_diversity,9978208311267522223
73,7sa1__B1_Q5VMP0--7sa1__A1_Q39255,group2,1,robust_correct,False,cluster_1706_21415,1,624,122,746,maximin_feature_diversity,10151559438086030469
74,4dex__A1_P54288--4dex__B1_Q02294,group3,1,robust_correct,False,cluster_37018_5083,3,289,45,334,maximin_feature_diversity,10380392523496846342
75,6au8__A1_Q7L5D6--6au8__B1_P46379,group3,1,robust_correct,False,cluster_10083_5104,4,280,42,322,maximin_feature_diversity,10409532960042223999
76,3k7v__A1_P30153--3k7v__B1_P67775,feasibility50,1,robust_correct,False,cluster_1544_2851,2,581,288,869,existing_multiseed_anchor,10420517939271423379
77,6pnp__A1_Q9CS84--6pnp__B1_Q63366,feasibility50,1,robust_correct,False,cluster_37121_37122,0,193,132,325,existing_multiseed_anchor,10561827240200338402
78,5ky2__A1_Q91ZW2--5ky2__B1_P70375,group1,1,robust_correct,False,cluster_3018_588,1,355,40,395,maximin_feature_diversity,10679604542346196747
79,1vf6__A1_Q8NI35--1vf6__C1_Q9JLB2,feasibility50,1,robust_correct,False,cluster_9363_9364,3,58,51,109,existing_multiseed_anchor,10685391788762346799
80,3n9y__A1_P05108--3n9y__C1_P10109,group3,1,robust_correct,False,cluster_3707_4339,4,471,68,539,maximin_feature_diversity,10691115141957250707
81,2zae__A1_O59425--2zae__B1_O59248,group3,1,robust_correct,False,cluster_12983_12984,2,105,98,203,maximin_feature_diversity,10786188126317802496
82,2b5u__A1_P00646--2b5u__B1_P02984,group1,1,robust_correct,False,cluster_15945_15946,0,470,84,554,maximin_feature_diversity,10980893558799621313
83,4ip3__A1_Q8VSD5--4ip3__B1_P61088,feasibility50,1,robust_correct,False,cluster_1408_16815,1,192,151,343,existing_multiseed_anchor,11309858844546403023
84,4k5a__A1_Q1RMX3--4k5a__B1_UNDEFINED,group1,1,robust_correct,False,cluster_1936_583,3,164,161,325,maximin_feature_diversity,11461751107882924474
85,5f4e__A1_Q8IYV9--5f4e__B1_A6ND01,group1,1,robust_correct,False,cluster_9086_9087,4,233,209,442,maximin_feature_diversity,11551293659800460243
86,2yin__B1_Q92608--2yin__D1_P63000,group1,1,robust_correct,False,cluster_12110_437,2,410,181,591,maximin_feature_diversity,11658028733044296496
87,4u1c__A1_P32497--4u1c__B1_P38249,group1,1,robust_correct,False,cluster_10146_2441,0,544,271,815,maximin_feature_diversity,11986130029382941801
88,7s7q__A1_Q8I1Y0--7s7q__B1_C6KSX0,group3,1,robust_correct,False,cluster_35248_35249,1,304,268,572,maximin_feature_diversity,12073599649973944758
89,3mxn__A1_Q9H9A7--3mxn__B1_Q96E14,feasibility50,1,robust_correct,False,cluster_4532_4533,3,151,131,282,existing_multiseed_anchor,12146358460105262811
90,2yaj__A1_Q38HX4--2yaj__B1_Q38HX3,group3,1,robust_correct,False,cluster_5562_5563,4,869,86,955,maximin_feature_diversity,12334710479280752988
91,4oh8__B1_Q8WWW0--4oh8__A1_Q13043,group3,1,robust_correct,False,cluster_5163_8741,2,46,43,89,maximin_feature_diversity,12744670722687643464
92,5fbz__A1_A0A182DWC7--5fbz__B1_P01053,group3,1,robust_correct,False,cluster_37934_387,0,432,67,499,maximin_feature_diversity,13303006443190303350
93,4bvx__A1_P56192--4bvx__B1_O43324,feasibility50,1,robust_correct,False,cluster_1930_1934,1,203,170,373,existing_multiseed_anchor,13497457554575868663
94,6qxp__A1_O48809--6qxp__I1_Q9FZA0,group1,1,robust_correct,False,cluster_1977_2601,3,342,47,389,maximin_feature_diversity,13705599493817868519
95,5vpc__B1_P17535--5vpc__A1_P53539,group1,1,robust_correct,False,cluster_11019_29001,4,68,55,123,maximin_feature_diversity,13815433331540683655
96,5f22__B1_P0C6X7--5f22__A1_P0C6U8,feasibility50,1,robust_correct,False,cluster_306_307,2,115,79,194,existing_multiseed_anchor,14026408687879383081
97,1krl__B1_P02882--1krl__A1_P02881,group1,1,robust_correct,False,cluster_3543_3543,0,48,44,92,maximin_feature_diversity,14235296959067451366
98,4xt2__C1_Q99814--4xt2__A1_P27540,group1,1,robust_correct,False,cluster_2976_2976,1,116,111,227,maximin_feature_diversity,14619622381038583077
99,6l4p__A1_Q9XHH2--6l4p__B1_Q39575,feasibility50,1,robust_correct,False,cluster_2106_21655,3,195,138,333,existing_multiseed_anchor,14701223255790099497
100,3zr4__A1_Q9X0C6--3zr4__B1_Q9X0C8,feasibility50,1,robust_correct,False,cluster_6869_6870,4,242,201,443,existing_multiseed_anchor,14774833811215907515
101,5lsb__A1_Q99181--5lsb__B1_Q02554,group2,1,robust_correct,False,cluster_2105_993,2,176,62,238,maximin_feature_diversity,14802872909219534993
102,5tbk__J1_P18754--5tbk__A1_O00629,group3,1,robust_correct,False,cluster_1373_1762,0,418,417,835,maximin_feature_diversity,14990602509298391607
103,3axj__B1_Q9VF77--3axj__A1_Q7JVK6,group3,1,robust_correct,False,cluster_6242_6242,1,235,222,457,maximin_feature_diversity,15073930285314427015
104,3cbk__A1_P07858--3cbk__B1_Q966X9,feasibility50,1,robust_correct,False,cluster_6304_6704,3,257,110,367,existing_multiseed_anchor,15148056178419598769
105,4zkc__A1_Q2F862--4zkc__B1_P80098,feasibility50,1,robust_correct,False,cluster_144_19156,4,217,60,277,existing_multiseed_anchor,15194204089340654814
106,6a3v__A1_P41273--6a3v__B1_Q07011,group3,1,robust_correct,False,cluster_5515_6908,2,149,138,287,maximin_feature_diversity,15321340775068511866
107,7s0y__A1_P18177--7s0y__B1_P60953,group3,1,robust_correct,False,cluster_437_7718,0,542,180,722,maximin_feature_diversity,15423498569612829606
108,2y9y__B1_P43596--2y9y__A1_P38144,group3,1,robust_correct,False,cluster_16576_30384,1,592,277,869,maximin_feature_diversity,15446639347723892745
109,5uiw__A1_P51681--5uiw__B1_P13501,group1,1,robust_correct,False,cluster_143_144,3,352,67,419,maximin_feature_diversity,15683140510897554352
110,1ogy__A1_Q53176--1ogy__B1_Q53177,group2,1,robust_correct,False,cluster_1993_1994,4,790,127,917,maximin_feature_diversity,15698112273228755585
111,2a1j__B1_P07992--2a1j__A1_Q92889,group2,1,robust_correct,False,cluster_12762_6937,2,79,62,141,maximin_feature_diversity,15950139500753413884
112,1ira__B1_P14778--1ira__A1_P18510,group1,1,robust_correct,False,cluster_693_9399,0,311,145,456,maximin_feature_diversity,15953916927274962519
113,4bry__A1_O75496--4bry__B1_D6RGH6,group2,1,robust_correct,False,cluster_15378_28762,1,69,69,138,maximin_feature_diversity,16003989629927462564
114,6i7s__C1_P55157--6i7s__A1_P07237,group1,1,robust_correct,False,cluster_22133_621,3,863,461,1324,maximin_feature_diversity,16126660790485579592
115,5ch7__A1_G8QM55--5ch7__B1_G8QM54,group2,1,robust_correct,False,cluster_17946_3416,4,894,329,1223,maximin_feature_diversity,16177041481934791606
116,3lcb__A1_Q8X607--3lcb__D2_P08200,group3,1,robust_correct,False,cluster_1246_13811,2,554,415,969,maximin_feature_diversity,16311826286908615614
117,7dnn__A1_H0QPL9--7dnn__B1_H0QPL8,group3,1,robust_correct,False,cluster_6967_6968,0,336,131,467,maximin_feature_diversity,16375648327224980675
118,1luj__A1_P35222--1luj__B1_Q9JJN6,feasibility50,1,robust_correct,False,cluster_1373_8533,1,501,71,572,existing_multiseed_anchor,16464854917604075524
119,6hul__B1_P50383--6hul__A1_P50382,group2,1,robust_correct,False,cluster_1163_4654,3,416,241,657,maximin_feature_diversity,16522019060702344695
120,5t3r__B1_Q8A6W3--5t3r__A1_Q8A6W4,group2,1,robust_correct,False,cluster_2672_2673,4,806,553,1359,maximin_feature_diversity,16718876761205166955
121,6vax__A1_P31040--6vax__B1_Q9NX18,group1,1,robust_correct,False,cluster_11268_392,2,611,113,724,maximin_feature_diversity,17053925493316504545
122,2b42__A1_Q8H0K8--2b42__B1_P18429,group3,1,robust_correct,False,cluster_6292_7873,0,364,184,548,maximin_feature_diversity,17070675229982772952
123,3vyr__B1_Q5JII1--3vyr__A1_Q5JII0,group1,1,robust_correct,False,cluster_1112_32790,1,371,72,443,maximin_feature_diversity,17126710723604559484
124,6r6n__A1_Q1Q7P4--6r6n__B1_Q1Q7P3,group1,1,robust_correct,False,cluster_29905_9,3,111,100,211,maximin_feature_diversity,17201403192883834689
125,1zoq__A1_Q14653--1zoq__B1_Q92793,group2,1,robust_correct,False,cluster_9276_9277,4,191,47,238,maximin_feature_diversity,17253245594624815105
126,4hg6__A1_Q3J125--4hg6__B1_Q3J126,feasibility50,1,robust_correct,False,cluster_16344_16345,2,747,655,1402,existing_multiseed_anchor,17539339622501773183
127,5vxz__A1_Q14393--5vxz__C1_P30530,feasibility50,1,robust_correct,False,cluster_22270_9993,0,376,102,478,existing_multiseed_anchor,17642069476379583220
128,3w2v__A1_Q8U1S6--3w2v__B1_Q8U1S7,group2,1,robust_correct,False,cluster_7008_7009,1,602,281,883,maximin_feature_diversity,17693737236352785796
129,6p66__B1_O29890--6p66__A1_O29889,group3,1,robust_correct,False,cluster_13819_13820,3,467,443,910,maximin_feature_diversity,17718984661330169103
130,6fc2__A1_P07260--6fc2__B1_P36041,feasibility50,1,robust_correct,False,cluster_2391_24539,4,178,60,238,existing_multiseed_anchor,17720825201318669703
131,3gb8__A1_O14980--3gb8__B1_O95149,group3,1,robust_correct,False,cluster_435_769,2,959,268,1227,maximin_feature_diversity,17752649825693349689
132,5yh3__A1_Q96MK3--5yh3__B1_Q8IXL6,group1,1,robust_correct,False,cluster_6497_6497,0,438,385,823,maximin_feature_diversity,17781837917681578323
133,1ujw__A1_P06129--1ujw__B1_P00646,group3,1,robust_correct,False,cluster_15945_7863,1,576,116,692,maximin_feature_diversity,17854167535623871182
134,6cp8__A1_A0A2A2CAY5--6cp8__C1_A0A2A2C800,feasibility50,1,robust_correct,False,cluster_18238_18239,3,157,157,314,existing_multiseed_anchor,18261639452987908412
135,5wuq__A1_Q45585--5wuq__C1_Q45588,group1,1,robust_correct,False,cluster_120_3090,4,158,70,228,maximin_feature_diversity,18308500752067065410
136,1vc1__A1_Q9X1F5--1vc1__B1_Q9X1F5,group1,1,robust_correct,True,cluster_13246_13246,3,110,110,220,maximin_feature_diversity,585868234841945504
137,3f6t__B1_Q5FIG7--3f6t__A1_Q5FIG7,group1,1,robust_correct,True,cluster_575_575,2,508,506,1014,maximin_feature_diversity,606758192504559583
138,4g3k__A1_O66591--4g3k__B1_O66591,group1,1,robust_correct,True,cluster_22960_22960,4,155,140,295,maximin_feature_diversity,1193431609500498005
139,6vwo__A1_P0AEW6--6vwo__A2_P0AEW6,group2,1,robust_correct,True,cluster_25747_25747,1,383,383,766,maximin_feature_diversity,1793328515384670982
140,4eog__A1_UNDEFINED--4eog__A2_UNDEFINED,group3,1,robust_correct,False,cluster_22129_22129,0,460,460,920,maximin_feature_diversity,1818804244334323251
141,5tc2__A1_P04585--5tc2__B1_P04585,group3,1,robust_correct,True,cluster_17_17,3,55,55,110,maximin_feature_diversity,2090643951129821121
142,3up1__A1_P16871--3up1__B1_P16871,group2,1,robust_correct,True,cluster_7163_7163,2,201,196,397,maximin_feature_diversity,2493955228354017067
143,3fkq__A1_D0VX10--3fkq__A2_D0VX10,group3,1,robust_correct,True,cluster_12251_12251,4,344,344,688,maximin_feature_diversity,2761411936215707144
144,2raf__B1_F9URQ8--2raf__A1_F9URQ8,group1,1,robust_correct,True,cluster_23535_23535,1,201,184,385,maximin_feature_diversity,2791481650025934345
145,3d3r__A1_Q8EF93--3d3r__B1_Q8EF93,group2,1,robust_correct,True,cluster_37898_37898,0,80,77,157,maximin_feature_diversity,3092501273955350538
146,1zp6__A1_A9CEJ3--1zp6__A2_A9CEJ3,group1,1,robust_correct,True,cluster_28190_28190,3,174,174,348,maximin_feature_diversity,3677699881182256772
147,1b3q__B1_Q56310--1b3q__A1_Q56310,group1,1,robust_correct,True,cluster_13589_13589,2,370,368,738,maximin_feature_diversity,3696646551702714375
148,1xsv__A1_P67248--1xsv__B1_P67248,group3,1,robust_correct,True,cluster_27679_27679,4,104,104,208,maximin_feature_diversity,3961726092865085244
149,2pyu__A1_P52061--2pyu__A2_P52061,group2,1,robust_correct,True,cluster_1715_1715,1,208,208,416,maximin_feature_diversity,4217734795311235293
150,7cdv__A1_A0A2I4PGE9--7cdv__B1_A0A2I4PGE9,group1,1,robust_correct,True,cluster_1257_1257,0,277,276,553,maximin_feature_diversity,4235825442234746183
151,7ovp__A1_O58230--7ovp__B1_O58230,group2,1,robust_correct,True,cluster_29336_29336,3,329,329,658,maximin_feature_diversity,4249936972091962498
152,4ny2__A1_UNDEFINED--4ny2__B1_UNDEFINED,group1,1,robust_correct,False,cluster_6315_6315,2,405,405,810,maximin_feature_diversity,4341610103133899732
153,5z5y__A1_P02866--5z5y__B1_P02866,group3,1,robust_correct,True,cluster_1152_1152,4,237,237,474,maximin_feature_diversity,4799342012003439343
154,1kzh__A1_P70826--1kzh__B1_P70826,group1,1,robust_correct,True,cluster_4308_4308,1,550,530,1080,maximin_feature_diversity,4913274134270816609
155,1vp7__B1_Q7VV85--1vp7__A1_Q7VV85,group2,1,robust_correct,True,cluster_27377_27377,0,76,67,143,maximin_feature_diversity,5090227761535952566
156,4kun__A1_UNDEFINED--4kun__B1_UNDEFINED,group1,1,robust_correct,False,cluster_20206_20206,3,89,88,177,maximin_feature_diversity,5322434063318013979
157,4har__A1_P08563--4har__B1_P08563,group2,1,robust_correct,True,cluster_23519_23519,2,98,97,195,maximin_feature_diversity,5424579194908735952
158,5an6__B1_Q9X2D0--5an6__C1_Q9X2D0,group3,1,robust_correct,True,cluster_33544_33544,4,123,123,246,maximin_feature_diversity,5439835812803487271
159,2vcg__D1_Q70I53--2vcg__A1_Q70I53,group2,1,robust_correct,True,cluster_4973_4973,1,375,368,743,maximin_feature_diversity,5847364543828016396
160,1b7e__A1_Q46731--1b7e__A2_Q46731,group1,1,robust_correct,True,cluster_12148_12148,0,372,372,744,maximin_feature_diversity,5883120782896759722
161,2d1g__A1_A0Q436--2d1g__B1_A0Q436,group1,1,robust_correct,True,cluster_36673_36673,3,481,472,953,maximin_feature_diversity,5965157855958540254
162,3fx0__B1_Q9Y6K9--3fx0__A1_Q9Y6K9,group2,1,robust_correct,True,cluster_3603_3603,2,71,63,134,maximin_feature_diversity,6142720557521548327
163,2aye__B1_Q84294--2aye__A1_Q84294,group1,1,robust_correct,True,cluster_1084_1084,4,87,86,173,maximin_feature_diversity,6720567726081943318
164,3cam__A1_Q9JZZ4--3cam__B1_Q9JZZ4,group2,1,robust_correct,True,cluster_2873_2873,1,65,65,130,maximin_feature_diversity,7105705276155488285
165,2q1k__A1_Q1EHA4--2q1k__B1_Q1EHA4,group2,1,robust_correct,True,cluster_19020_19020,0,51,51,102,maximin_feature_diversity,7570369710972862644
166,5mxg__A1_C7BLE4--5mxg__A2_C7BLE4,group2,1,robust_correct,True,cluster_4501_4501,3,344,344,688,maximin_feature_diversity,8719504396967788376
167,4cfg__A1_Q14258--4cfg__B1_Q14258,group1,1,robust_correct,True,cluster_19549_19549,2,161,159,320,maximin_feature_diversity,9664315940096396796
168,6y62__B1_Q5MYC0--6y62__A1_Q5MYC0,group2,1,robust_correct,True,cluster_1928_1944,4,419,352,771,maximin_feature_diversity,9847246103285933185
169,2dm9__A1_O57724--2dm9__B1_O57724,group3,1,robust_correct,True,cluster_4445_4445,1,118,118,236,maximin_feature_diversity,10277714458677345981
170,4git__A1_Q84FG5--4git__B1_Q84FG5,group2,1,robust_correct,True,cluster_3575_3575,0,92,92,184,maximin_feature_diversity,10328292857919894965
171,3nnf__A1_Q6DNF2--3nnf__A2_Q6DNF2,group1,1,robust_correct,True,cluster_33162_33162,3,318,318,636,maximin_feature_diversity,10605141034038171762
172,6efw__A1_J9VIT7--6efw__A2_J9VIT7,group1,1,robust_correct,True,cluster_20270_20270,2,346,346,692,maximin_feature_diversity,10840049763755813194
173,3b4y__A1_P9WNE1--3b4y__B1_P9WNE1,group3,1,robust_correct,True,cluster_29286_29286,4,323,323,646,maximin_feature_diversity,10999773903170486421
